title_eng,title_eng_dub,title_jap,poster_link,no_episodes,status,aired_start,aired_end,studio,duration,tags,summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kurage no Shokudou , ,クラゲの食堂 ,https://i.animepahe.com/posters/80825cb05d5b533c2dd2a6aef68a93d3.jpg ,1,Finished Airing ,Mar 09 2016 ,Mar 09 2016 ,Zexcs ,29 minutes ,Slice of Life;Drama ,In the story;; the protagonist Youtarou Misaki finds himself lying on the beach one day. He is picked up by Arashi;; who manages a restaurant called Kurage no Shokudou. When asked who he is;; the protagonist tells a lie that he lost his memory—but he remembers everything;; including the fact that his twin brother died.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuragehime ,Princess Jellyfish ,海月姫 ,https://i.animepahe.com/posters/364d99e648d359317b294b3587c01eca28ec18658bcb43cb53c703098ecba89f.jpg ,11,Finished Airing ,Oct 15 2010 ,Oct 15 2010 ,Brain's Base ,22 minutes ,Slice of Life;Comedy;Josei ,"Ever since her late mother took her to an aquarium when she was young;; Tsukimi Kurashita has been obsessed with jellyfish;; comparing their flowing tentacles to a princess's white dress. Now living with five other unemployed otaku women;; 19-year-old Tsukimi spends her days as a social outcast dreaming of becoming an illustrator.However;; her life changes forever when one day;; a beautiful woman unexpectedly helps her save a jellyfish in a local pet store. From then on;; the stranger—confident;; fashionable;; and the complete opposite of Tsukimi and her roommates—begins to regularly visit the girls' building. This trendy hipster;; though appearing shallow at first;; harbors some secrets of her own;; starting with the fact that ""she"" isn't really a girl at all;; but a wealthy male college student named Kuranosuke Koibuchi!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuragehime: Eiyuu Retsuden☆ ,Princess Jellyfish Specials ,海月姫 英雄列伝☆ ,https://i.animepahe.com/posters/f40758c15c6c54e9e9ea84318af197e9.jpg ,4,Finished Airing ,Jan 28 2011 ,Jan 28 2011 ,Brain's Base ,5 minutes ,Slice of Life;Comedy;Josei ,"Short episodes included in Blu-ray and DVD release;; adapting the side story ""Kuragehime Heroes☆",," a spin-off manga serialized in Kiss Plus magazine. Supporting characters are featured in short chapters.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuragehime: Soreike! Amars Tankentai ,Princess Jellyfish: Go;; Sisterhood Explorers! ,それいけ！尼～ず探検隊 ,https://i.animepahe.com/posters/3cb992641793b837c6549e05bd6811fd.jpg ,6,Finished Airing ,Aug 12 2010 ,Aug 12 2010 ,Brain's Base ,30 minutes ,Adventure;Comedy;Josei ,The Amars go on an adventure in the forest.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kure-nai ,Kurenai ,紅 ,https://i.animepahe.com/posters/8d0fa54347c5eed437a3b11a4871ccfa.jpg ,12,Finished Airing ,Apr 04 2008 ,Apr 04 2008 ,Brain's Base ,25 minutes ,Comedy;Drama;Martial Arts ,Shinkurou Kurenai is a 16-year-old student by day and a dispute mediator by night. Though kind-hearted and patient;; due to his tragic past;; he has trained for years to live on. Now;; despite his unimposing appearance;; he is a strong martial artist;; who also possesses a strange power.While taking various jobs for his employer;; Benika Juuzawa;; one assignment leads Shinkurou to live with Murasaki Kuhouin as her bodyguard. Murasaki is the seven-year-old daughter of a plutocratic family;; who escaped her home under peculiar circumstances with Benika's help. Commoner life;; in her eyes;; seems bizarre. However;; by interacting with her neighbors;; she grows more accustomed to the daily routine;; and rids herself of her snobbish behavior;; gradually growing attached to Shinkurou.Though many details of the job remain unclear;; Shinkurou still strives to protect the young lady. But to make things more complicated;; he also lacks a crucial fact—what is the real threat against Murasaki?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kure-nai OVA , ,紅 OVA ,https://i.animepahe.com/posters/051fa4577b45444781e9a1105acc2588.jpg ,2,Finished Airing ,Jul 02 2010 ,Jul 02 2010 ,Brain's Base ,29 minutes ,Action;Comedy ,A Kure-nai OVA featuring new character designs closer to the novel/manga.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kurenai no Buta ,Porco Rosso ,紅の豚 ,https://i.animepahe.com/posters/c65f8fd1a36fd58ebc43818f5fd555f8.jpg ,1,Finished Airing ,Jul 18 1992 ,Jul 18 1992 ,Studio Ghibli ,93 minutes ,Action;Military;Adventure;Comedy;Historical;Drama;Romance ,After a curse turned him into a pig;; World War I ace Marco Pagot becomes Porco Rosso;; a mysterious bounty hunter who takes down sky pirates in the Adriatic Sea. He whiles away his days on a secluded island;; rarely leaving other than to collect bounties or to visit the beautiful Gina;; a songstress and owner of the Hotel Adriano.One day;; while traveling to fix his faulty engine;; Porco Rosso is gunned down by a young American hotshot named Donald Curtis. Thrilled at the possibility of fame;; Donald boldly declares that the flying pig is dead. Not wanting to disappoint Gina;; Porco Rosso flees to the famous Piccolo S.P.A. airplane company and takes out a massive loan in order to repair and improve his fighter plane. There;; he is surprised to find that the chief engineer of Piccolo S.P.A. is the 17-year-old Fio Piccolo;; who hungers for a chance to prove herself. With Fio's improvements;; Porco Rosso prepares to challenge Donald officially and regain his honor.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kurokami The Animation ,Kurokami The Animation ,黒神 The Animation ,https://i.animepahe.com/posters/f0ec603d88ae42c767ce1e65d71dbd53.jpg ,23,Finished Airing ,Jan 09 2009 ,Jan 09 2009 ,Sunrise ,23 minutes ,Action;Super Power;Martial Arts;Seinen ,"High school student Ibuki Keita has been haunted by misfortune for as long as he can remember. For no apparent reason;; everyone around him dies tragically. Ultimately;; he refuses to become too close to anyone;; even his childhood friend Akane. This leaves Keita alone in a life full of misery and disgrace.While eating at his favorite ramen shop one evening;; Keita meets a strange young girl named Kuro. Possessing abilities that surpass that of a normal human being;; Kuro classifies herself as a Mototsumitama. She explains to Keita about ""Terra;;"" a life-energy force split between three identical looking people; a global phenomenon dubbed the ""Doppeliner System."" As a Mototsumitama;; Kuro guards the ""Coexistence Equilibrium;;"" the beings that protect the flow of Terra around the world. Keita refuses to believe her story;; until he is caught up in the crossfire of this hidden world. On the verge of death;; he makes a contract with Kuro;; unbeknownst to its true meaning. Now he is bound to Kuro;; and must be with her at all times. Could Keita's misfortune possibly get any greater?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kurokami: Tora to Tsubasa , ,黒神 ,https://i.animepahe.com/posters/177cf7babae4eb21f86f09bd43bfa793.jpg ,1,Finished Airing ,Dec 22 2009 ,Dec 22 2009 ,Sunrise ,23 minutes ,Action;Super Power;Martial Arts;Seinen ,Half a year after the battle in Okinawa;; Excel was looking for a new Mototsumitama to revenge on Reishin. Excel met Mikami and decided to contract with her. Before making the contract;; Excel looked back at the encounter with Steiner.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuroko no Basket ,Kuroko's Basketball ,黒子のバスケ ,https://i.animepahe.com/posters/7e3cec2d3f179df09f234ebde8ee6558.jpg ,25,Finished Airing ,Apr 08 2012 ,Apr 08 2012 ,Production I.G ,24 minutes ,Comedy;School;Shounen;Sports ,"Teikou Junior High School's basketball team is crowned champion three years in a row thanks to five outstanding players who;; with their breathtaking and unique skills;; leave opponents in despair and fans in admiration. However;; after graduating;; these teammates;; known as ""The Generation of Miracles",, go their separate ways and now consider each other as rivals.At Seirin High School,, two newly recruited freshmen prove that they are not ordinary basketball players: Taiga Kagami,, a promising player returning from the US,, and Tetsuya Kuroko,, a seemingly ordinary student whose lack of presence allows him to move around unnoticed. Although Kuroko is neither athletic nor able to score any points,, he was a member of Teikou's basketball team,," where he played as the ""Phantom Sixth Man",, who easily passed the ball and assisted his teammates.Kuroko no Basket follows the journey of Seirin's players as they attempt to become the best Japanese high school team by winning the Interhigh Championship. To reach their goal;; they have to cross pathways with several powerful teams;; some of which have one of the five players with godlike abilities;; whom Kuroko and Taiga make a pact to defeat.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuroko no Basket 2nd Season ,Kuroko's Basketball 2 ,黒子のバスケ ,https://i.animepahe.com/posters/5082a5da925b4d12db67cd938dc38937.jpg ,25,Finished Airing ,Oct 06 2013 ,Oct 06 2013 ,Production I.G ,24 minutes ,Comedy;Sports;School;Shounen ,"With the Interhigh Championship finally over;; Seirin's basketball team refocuses their efforts;; training harder than ever to get the chance to participate in the Winter Cup. Both Kuroko and Kagami see old friends walk back into their lives;; providing a challenge both on and off the court.As new skills are developed and new alliances created;; enemies from various teams—giants of high school basketball such as Yousen;; Shuutoku and Touou—stand in the way of Seirin's steadfast attempts to get to the top. All of these schools prove to be formidable foes whose abilities progress exponentially;; while Kuroko struggles to find a balance between his resolve to play as part of a team and his desire to win. With old wounds reopening;; new challenges to face on the court;; and a new set of foes—the ""Uncrowned Kings""—vowing to defeat the new hopefuls;; will Seirin ever be able to achieve their dream of beating the Generation of Miracles?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuroko no Basket 2nd Season NG-shuu , ,黒子のバスケNG集 ,https://i.animepahe.com/posters/d53a49a6fd9b91def1fb5466f50faead.jpg ,9,Finished Airing ,Jan 29 2014 ,Jan 29 2014 ,Production I.G ,2 minutes ,Comedy;Sports ,Animated bloopers;; based on the extra section of the original manga series;; included with the BD/DVD series for Kuroko no Basket Second Season (both limited and normal editions).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuroko no Basket 3rd Season ,Kuroko's Basketball 3 ,黒子のバスケ ,https://i.animepahe.com/posters/4561149a7270c10ad374c1e0d98f1b91.jpg ,25,Finished Airing ,Jan 11 2015 ,Jan 11 2015 ,Production I.G ,24 minutes ,Comedy;Sports;School;Shounen ,"Following their triumph against Yousen High;; Seirin's basketball team has reached the semifinals of the Winter Cup along with Kaijou;; Rakuzan;; and Shuutoku. Each of these teams possesses a member of the Generation of Miracles;; and Seirin prepares to face the largest obstacles on their path to winning the Winter Cup.In the final season of Kuroko no Basket;; Kuroko goes head-to-head with his old teammates once more as he attempts to show them that individual skill is not the only way to play basketball. His firm belief that his form of basketball;; team play;; is the right way to play the sport will clash with the talents of a perfect copy and an absolute authority.While Kuroko tries to prove that his basketball is ""right;;"" he and the rest of Seirin High ultimately have one goal: to win the Winter Cup and overcome the strength of the Generation of Miracles;; who have long dominated the scene of middle and high school basketball.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuroko no Basket Movie 1: Winter Cup - Kage to Hikari ,Winter Cup Highlights Episode 1 – Winter Cup Highlights -Shadow and Light- ,劇場版「黒子のバスケ」ウインターカップ総集編～影と光～ ,https://i.animepahe.com/posters/2103d62f930135d460a9d10ccfc0cedf.jpg ,1,Finished Airing ,Sep 03 2016 ,Sep 03 2016 ,Production I.G ,87 minutes ,Sports;School;Shounen ,First of three compilation films of the Kuroko no Basket franchise.The first match of Seirin vs Touou Gakuen at the Winter Cup. Seirin swore they would get revenge from the Inter-High;; but Aomine's talents grew even stronger and Kuroko's new move is seen through. After having all of his efforts denied by his former light;; Aomine;; Kuroko is benched and faces humiliation. Seeing his partner like this;; something almost beast-like awakens within Kagami;; and he challenges Aomine. Aomine had lost almost all sense of fighting;; until he and Kagami both intensely face off with each other as they go into the Zone.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuroko no Basket Movie 2: Winter Cup - Namida no Saki e ,Winter Cup Highlights Episode 2 – Winter Cup Highlights -Beyond the Tears- ,劇場版「黒子のバスケ」ウインターカップ総集編～涙の先へ～ ,https://i.animepahe.com/posters/dbadcd4c7e26e60386bbbad7a6b074b2.jpg ,1,Finished Airing ,Oct 08 2016 ,Oct 08 2016 ,Production I.G ,87 minutes ,Sports;School;Shounen ,Second of three compilation films of the Kuroko no Basket franchise.Seirin faces off with Yosen in the quarter finals of the Winter Cup. Facing Yosen’s impenetrable defense with Murasakibara at its center;; Kuroko manages to shoot his first point. Meanwhile;; the ace battle between Kagami and Himuro also heats up. An intense battle is held until the very end. Next;; Seirin faces off with Kaijo in the semi finals. Cautious of Kaijo's ace;; Kise;; and his Perfect Copy ability;; Seirin works fast and hard to take the lead. Kise hurts his leg and is benched;; so Seirin thinks they now have their chance;; but then Kaijo shows them exactly what they can do even without Kise.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuroko no Basket Movie 3: Winter Cup - Tobira no Mukou ,Winter Cup Highlights Episode 3 – Winter Cup Highlights -Crossing the Door- ,劇場版「黒子のバスケ」ウインターカップ総集編～扉の向こう～ ,https://i.animepahe.com/posters/fa17891442cb8a56c9ac35d0b2da1394.jpg ,1,Finished Airing ,Dec 03 2016 ,Dec 03 2016 ,Production I.G ,88 minutes ,Comedy;Sports;Shounen ,Third of three compilation films of the Kuroko no Basket franchise.Rakuzan and Shutoku face off in the semi finals at the Winter Cup. Despite struggling with Akashi's Emperor Eye that sees through everything;; Midorima and Takao fight back with their consecutive plays;; and the whole Shutoku team bites back at Rakuzan. However;; it doesn't take long before Akashi crushes all of their hopes. It is decided that the finals will be fought between Seirin and Rakuzan. Kagami immediately enters the Zone as soon as the match starts;; but it is no match for Akashi. Facing an extreme difference in ability against Rakuzan;; Seirin loses their hope a number of times during the match. However;; Kuroko doesn't give up;; and continues to strongly fight against Akashi.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuroko no Basket Movie 4: Last Game , ,劇場版 黒子のバスケ LAST GAME ,https://i.animepahe.com/posters/c6fbc22298e91027673b845808bf9be8.jpg ,1,Finished Airing ,Mar 18 2017 ,Mar 18 2017 ,Production I.G ,90 minutes ,Sports;School;Shounen ,Hailing from America;; Jabberwock—a street basketball team with skills comparable to those of the NBA—has come to Japan to play an exhibition match against Strky;; a team of former third-year students who once played in the Interhigh and Winter Cup. However;; due to the vast difference in skill;; Jabberwock easily wins. Their captain;; Nash Gold Jr.;; mocks the basketball style of all players in Japan by comparing them to monkeys.Infuriated by the nasty comment;; Kagetora Aida challenges them to a revenge match. Because of pride and the belief that the results will be no different;; Nash accepts the challenge. Kagetora then assembles Vorpal Swords;; a team composed of the Generation of Miracles;; including Kuroko Tetsuya and Kagami Taiga;; for they are the only ones who stand a chance against a foe that seems unbeatable from every angle.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuroko no Basket NG-shuu ,Kuroko's Basketball Specials ,黒子のバスケNG集 ,https://i.animepahe.com/posters/192d3f74f777574405349e3de4fc79d7.jpg ,9,Finished Airing ,Jul 27 2012 ,Jul 27 2012 ,Production I.G ,4 minutes ,Comedy;School;Shounen;Sports ,Animated bloopers;; based on the extra section of the original manga series;; included with the BD/DVD series for Kuroko no Basket (both limited and normal editions).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuroko no Basket: Baka ja Katenai no yo! ,Kuroko's Basketball OVA ,黒子のバスケ バカじゃ勝てないのよ! ,https://i.animepahe.com/posters/ce22edaee2cfe32f1a9f69da4ecdcf60.jpg ,1,Finished Airing ,Dec 04 2013 ,Dec 04 2013 ,Production I.G ,23 minutes ,Sports;Comedy;School;Shounen ,Bundled with the 25th volume of Kuroko no Basket manga. The anime based on the Baka Ja Katenai no yo story that was featured in the manga's fifth volume.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuroko no Basket: Mou Ikkai Yarimasen ka , ,黒子のバスケ 「もう一回やりませんか」 ,https://i.animepahe.com/posters/bbc3096f097d5ed002ea6484d035a8a7.jpg ,1,Finished Airing ,Jun 20 2014 ,Jun 20 2014 ,Production I.G ,24 minutes ,Comedy;School;Shounen;Sports ,Bundled with the 6 Blu-ray/DVD. It will adapt the 124th chapter of the manga;; which depicts when Kuroko and Aomine first met.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuroko no Basket: Oshaberi Shiyokka ,Kuroko's Basketball Special ,黒子のバスケ お喋りしよっか ,https://i.animepahe.com/posters/75ad3718c2b8b85f37de7201337aa98b.jpg ,1,Finished Airing ,Dec 21 2012 ,Dec 21 2012 ,Production I.G ,9 minutes ,Comedy;School;Sports;Shounen ,Special included on Kuroko no Basket Fan Disc 1: Owara nai Natsu.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuroko no Basket: Saikou no Present Desu , ,黒子のバスケ〜最高のプレゼントです〜 ,https://i.animepahe.com/posters/fa28a066a71b427e0972b3c686f339a1.jpg ,1,Finished Airing ,Dec 24 2015 ,Dec 24 2015 ,Production I.G ,23 minutes ,Action;Sports;School;Shounen ,A few weeks after the Winter Cup;; the five players of the Generation of Miracles as well as Kuroko have settled back into everyday life. But an invitation from Momoi arrives;; proposing that the former Teikou Junior High players gather once again and play a game. Kuroko happily accepts the unexpected invitation. But Kagami is bothered when he learns about the game;; because on that day;; the Seirin High team was planning a birthday party for Kuroko! However;; Kagami tells Kuroko that the birthday party won't be until the evening;; which makes him glad. So on January 31st;; Kuroko's best day begins!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuroko no Basket: Tip Off ,Kuroko's Basketball Special ,黒子のバスケ 第22.5Q 「Tip off」 ,https://i.animepahe.com/posters/ace80d9f5b70bdadfca464ecccc341d4.jpg ,1,Finished Airing ,Feb 22 2013 ,Feb 22 2013 ,Production I.G ,25 minutes ,Sports;Comedy;School;Shounen ,"Episode 22.5 bundled with BD/DVD volume 8.The episode covers Kuroko's past;; when he was part of the ""Generation of Miracles.""
""Hipira-kun Special ", ,ヒピラくん ,https://i.animepahe.com/posters/4646deaff8cf3483fa15461330eb1579.jpg ,1,Finished Airing ,Jan 29 2014 ,Jan 29 2014 ,Sunrise ,5 minutes ,Comedy;Fantasy;Kids;Supernatural;Vampire ,Last episode of Hipira-kun bundled with the DVD/Blu-ray release.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuromukuro ,Kuromukuro ,クロムクロ ,https://i.animepahe.com/posters/194f5813c515b24249818c1a649c4de8.jpg ,26,Finished Airing ,Apr 07 2016 ,Apr 07 2016 ,P.A. Works ,24 minutes ,Action;Sci-Fi;Mecha ,During the dawn of the 21st century;; the United Nations Kurobe Research Institute was established in Japan to investigate an ancient artifact;; which was discovered during the construction of the Kurobe Dam. Scientists from around the world have gathered in the facility to study the object;; while their children enjoy their everyday lives attending Mt. Tate International Senior High School.Yukina Shirahane;; a reserved high school girl;; is the daughter of the facility's head scientist. While visiting her mother at the facility;; Yukina manages to solve part of the artifact's puzzle. To her surprise;; what appears before her is Kennosuke Tokisada Ouma;; a young samurai from the Sengoku era.As a threat approaches from outer space;; Yukina;; along with Kennosuke;; finds herself defending Earth against the invading forces. Along the way;; she discovers the mystery behind Kennosuke and the reason he is determined to protect her.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuroshitsuji ,Black Butler ,黒執事 ,https://i.animepahe.com/posters/bc23678f0026a502ced9b612e4e954ab.jpg ,24,Finished Airing ,Oct 03 2008 ,Oct 03 2008 ,A-1 Pictures ,24 minutes ,Action;Mystery;Comedy;Historical;Demons;Supernatural;Shounen ,"Young Ciel Phantomhive is known as ""the Queen's Guard Dog;;"" taking care of the many unsettling events that occur in Victorian England for Her Majesty. Aided by Sebastian Michaelis;; his loyal butler with seemingly inhuman abilities;; Ciel uses whatever means necessary to get the job done. But is there more to this black-clad butler than meets the eye?In Ciel's past lies a secret tragedy that enveloped him in perennial darkness—during one of his bleakest moments;; he formed a contract with Sebastian;; a demon;; bargaining his soul in exchange for vengeance upon those who wronged him. Today;; not only is Sebastian one hell of a butler;; but he is also the perfect servant to carry out his master's orders—all the while anticipating the delicious meal he will eventually make of Ciel's soul. As the two work to unravel the mystery behind Ciel's chain of misfortunes;; a bond forms between them that neither heaven nor hell can tear apart.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuroshitsuji II ,Black Butler II ,黒執事II ,https://i.animepahe.com/posters/58ecf4f1b8517b21c2b7388bd279c5c9.jpg ,12,Finished Airing ,Jul 02 2010 ,Jul 02 2010 ,A-1 Pictures ,24 minutes ,Action;Comedy;Historical;Demons;Supernatural;Shounen ,The stage of Kuroshitsuji II opens on the life of Alois Trancy;; the young heir to the Trancy earldom. Though he is privileged now;; such was not always the case for the hot-tempered boy. Kidnapped and forced into slavery at a young age;; he was eventually rescued and returned home;; only to have his beloved father pass away soon after.However;; there are certain individuals who doubt Alois' story and legitimacy. And rightfully so;; because things in the Trancy household are not as they appear;; starting with Alois' black-clad butler with supernatural abilities;; Claude Faustus. Who exactly is the mysterious Claude;; and what connection does he have with Alois?Amid the web of lies and deceit running rampant in the mansion;; the bond between Alois and Claude will be tested as hell itself arrives at their doorstep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuroshitsuji II Specials ,Black Butler II Specials ,黒執事II: シエル・イン・ワンダーランド ,https://i.animepahe.com/posters/0a4c01ec773950b6cd9bfdfefc8b4abe.jpg ,6,Finished Airing ,Oct 27 2010 ,Oct 27 2010 ,A-1 Pictures ,25 minutes ,Fantasy;Supernatural;Comedy;Parody;Shounen ,According to the Kuroshitsuji website;; there are 6 OVAs included in the DVD releases.DVD 2: Ciel in Wonderland (Part 1)This re-imagines the cast of Kuroshitsuji II as characters in Lewis Carroll's Alice in Wonderland story.DVD 3: Welcome to the Phantomhive'sThis is meant to be like a simulation game. Elizabeth invites a lady (perhaps the viewer) to join her at a ball held at the Phantomhive mansion.DVD 5: The Making of Kuroshitsuji IIThis is a Hollywood style documentary with behind the scenes interviews with Sebastian;; Ciel;; Claude and Alois etc.DVD 6: Ciel in Wonderland (Part 2)This re-imagines the cast of Kuroshitsuji II as characters in Lewis Carroll's Alice in Wonderland story.DVD 8: The Tale of William the ShinigamiWilliam and Grell have to train new shinigami and reminisce about when they were training partners.DVD 9: The Spider's IntentionThe life in Trancy household and how those work under Alois is caring for him.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuroshitsuji Movie: Book of the Atlantic ,Black Butler: Book of the Atlantic ,劇場版 黒執事 Book of the Atlantic ,https://i.animepahe.com/posters/e07ceedcad5f813921b49a6d52b03c40.jpg ,1,Finished Airing ,Jan 21 2017 ,Jan 21 2017 ,A-1 Pictures ,100 minutes ,Action;Mystery;Comedy;Historical;Demons;Supernatural;Shounen ,The young Earl Ciel Phantomhive—the Queen's Guard Dog—is once again called to investigate seemingly supernatural phenomena when news of miraculous resurrections begins to surface in Victorian London. Along with Sebastian Michaelis;; his demon butler;; they board the luxury cruise liner Campania to investigate rumors of the Aurora Society—a medical organization suspected of experimenting on the dead.Grim reapers begin to appear on the ship;; and it becomes apparent that the ship is about to be overrun with the undead as a devious plan is put into motion. Ciel and Sebastian must now uncover the secrets that lie behind the Aurora Society's phoenix symbol;; and with the help of some old acquaintances;; return the undead to their coffins or share a watery grave.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuroshitsuji: Book of Circus ,Black Butler: Book of Circus ,黒執事 Book of Circus ,https://i.animepahe.com/posters/0867f6e0559c85478c27b61643614d16.jpg ,10,Finished Airing ,Jul 11 2014 ,Jul 11 2014 ,A-1 Pictures ,24 minutes ,Action;Mystery;Comedy;Historical;Demons;Supernatural;Shounen ,Full of wonder and excitement;; the Noah's Arc Circus troupe has captured audiences with their dazzling performances. Yet these fantastic acts don't come without a price. Children have mysteriously gone missing around London;; correlating to that of the groups' movements. Unsettled by these kidnappings;; Queen Victoria sends in her notorious guard dog;; Ciel Phantomhive;; and his ever-faithful demon butler;; Sebastian Michaelis;; on an undercover mission to find these missing children.Trying to balance their new circus acts with their covert investigation under the big top;; however;; proves to be quite a challenge. With the other performers growing suspicious and the threat of the circus' mysterious benefactor looming overhead;; what the two discover will shake Ciel to his very core.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuroshitsuji: Book of Murder ,Black Butler: Book of Murder ,黒執事 Book of Murder ,https://i.animepahe.com/posters/d1659cc58625d56131e5a85203d84e60.jpg ,2,Finished Airing ,Jan 28 2015 ,Jan 28 2015 ,A-1 Pictures ,58 minutes ,Action;Mystery;Comedy;Historical;Demons;Supernatural;Shounen ,At the behest of the Queen;; Earl Ciel Phantomhive hosts a lavish dinner party attended by several of the finest members of polite society—as well as struggling author;; Arthur. But as the party reaches its high;; a terrible murder takes place and none other than the Earl himself is suspected of the crime.As a violent storm rages on outside;; the death count continues to climb. The Phantomhive household and their eminent guests find they must cooperate in order to solve this mystery before they too fall prey to the mysterious murderer. However;; it seems that not even the perfect butler;; Sebastian Michaelis;; is safe from this horror.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuroshitsuji: Sono Shitsuji;; Kougyou ,Black Butler Special ,黒執事 その執事、興行 ,https://i.animepahe.com/posters/e2ad65a9c728a7f4cd5dd6abba20405b.jpg ,1,Finished Airing ,Sep 30 2009 ,Sep 30 2009 ,A-1 Pictures ,26 minutes ,Comedy;Demons;Historical;Shounen;Supernatural ,Earl Ciel Phantomhive's Funtom Corporation is sponsoring a charity performance of Hamlet to be shown to a group of poor children as a celebration of its third anniversary. However;; when the theater company hired for the stage play is suddenly delayed and won't make it in time for the scheduled performance;; the company is faced with a dilemma. With the promise of plenty of press coverage;; Ciel must find a way to rectify the situation and commands his butler;; Sebastian Michaelis;; to ensure the success of the play.But with a haphazard ensemble of amateur actors—including Ciel;; his fiancée Elizabeth Midford;; his servants;; and many others—how can they possibly put on the show in time?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kurozuka ,Kurozuka ,黒塚 ,https://i.animepahe.com/posters/20906d0efc680f98dcce5cc895f7d908.jpg ,12,Finished Airing ,Oct 07 2008 ,Oct 07 2008 ,Madhouse ,23 minutes ,Action;Drama;Historical;Horror;Romance;Sci-Fi;Vampire ,Adaptation of Takashi Noguchi's manga;; which itself adapts Baku Yumemakura's supernatural romance novel.The original novel is about a 12th-century man named Minamoto no Yoshitsune . Kurou flees into the mountains after losing to his brother Minamoto no Yoritomo;; the first Shogun to rule all of Japan. History records that he committed suicide;; but instead;; Kurou meets a strange;; beautiful woman named Kuromitsu in her mountain hermitage. Eventually;; Kurou falls in love with Kuromitsu;; but then realizes she conceals a dark secret. He learns that he is unable to die and continues to live for a thousand years as Japan evolves into a future society.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
