title_eng,title_eng_dub,title_jap,poster_link,no_episodes,status,aired_start,aired_end,studio,duration,tags,summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 Seeds 2nd Season , ,7SEEDS ,https://i.animepahe.com/posters/a1bab30c3196ce7290b6e489af342a3a639eeb73afbff3093156accc53a9d4ce.jpg ,12,Finished Airing ,Mar 26 2020 ,Mar 26 2020 ,Gonzo:Studio Kai ,24 minutes ,Sci-Fi;Adventure;Mystery;Psychological;Drama;Romance;Shoujo ,Second season of 7 Seeds.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91 Days ,91 Days ,91Days ,https://i.animepahe.com/posters/6d24061f96b1f3dedc616ecb18676cc4.jpg ,12,Finished Airing ,Jul 09 2016 ,Jul 09 2016 ,Shuka ,24 minutes ,Action;Drama;Historical ,As a child living in the town of Lawless;; Angelo Lagusa has witnessed a tragedy: his parents and younger brother have been mercilessly slaughtered by the Vanetti mafia family. Losing everything he holds dear;; he leaves both his name and hometown behind;; adopting the new identity of Avilio Bruno.Seven years later;; Avilio finally has his chance for revenge when he receives a mysterious letter prompting him to return to Lawless. Obliging;; he soon encounters the Vanetti don's son;; Nero;; and seeks to befriend him using the skills he has quietly honed for years.Set during the Prohibition era;; 91 Days tells the story of Avilio's dark;; bloodstained path to vengeance;; as he slowly ends each of the men involved in the killing of his family.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91 Days: Mijikai Rousoku ,91 Days: Brief Candle ,91Days『Day7.5 短いローソク』 ,https://i.animepahe.com/posters/d1e241c3de602fe34e4c352c1999a172.jpg ,1,Finished Airing ,Aug 26 2016 ,Aug 26 2016 ,Shuka ,24 minutes ,Action;Historical;Drama ,Recap of the first seven episodes of 91 Days series.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91 Days: Toki no Asase/Subete no Kinou/Ashita;; Mata Ashita ,91 Days: Shoal of Time/All Our Yesterdays/Tomorrow and Tomorrow ,91Days Day13「時の浅瀬／すべての昨日／明日、また明日」 ,https://i.animepahe.com/posters/2cc03f361e48745eb525f32966a71c609427af89f1c07b238e45bafd1ad94c21.jpg ,1,Finished Airing ,Jul 05 2017 ,Jul 05 2017 ,Shuka ,24 minutes ,Action;Historical;Drama ,"This episode contains three stories. The first story;; ""Toki no Asase ",, will center on Nero and Vanno persuading Frate to skip mass with them and see the circus.The second story,,Subete no Kinou ,, will focus on Ganzo,, as he meets a young man named Vincente at a bar,, and asks Ganzo to do something for him.The third story,,Ashita;; Mata Ashita ,, is set after Nero and Avilio defeat Mad Mack and are on the way back to Lawless. Nero suffers from fever dreams,," and Avilio nurses him back to health.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Channel ,A-Channel ,Aチャンネル ,https://i.animepahe.com/posters/67ab4e338279c95b1fa4036f643846dd.jpg ,12,Finished Airing ,Apr 08 2011 ,Apr 08 2011 ,Studio Gokumi ,24 minutes ,Comedy;School;Seinen;Slice of Life ,Tooru and Run have been best friends forever;; so when Tooru learns that she's managed to get into the same high school as Run;; she runs to tell her... only to find Run in a compromising position with yet another girl;; Yuko. Needless to say;; that makes things a bit awkward at school;; with Tooru fending off those who might be interested in Run while Yuko and their other girlfriend;; Nagi;; have to deal with Run's own penchant for drama.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Channel: +A-Channel ,A-Channel: +A-Channel ,Aチャンネル ,https://i.animepahe.com/posters/ae878fd962da656e9123085089473a0c.jpg ,11,Finished Airing ,May 25 2011 ,May 25 2011 ,Studio Gokumi ,2 minutes ,Comedy;School;Slice of Life;Seinen ,Extra specials from the DVD/BDs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Channel: Nabe wo Tabeyou ,A-Channel: Let's Eat Hot Pot ,Aチャンネル 鍋を食べよう ,https://i.animepahe.com/posters/2b785bc7503347405782bc01c7938793.jpg ,1,Finished Airing ,Sep 27 2017 ,Sep 27 2017 ,Studio Gokumi ,23 minutes ,Comedy;School;Seinen;Slice of Life ,A new episode included with the complete Blu-ray box collection of A-Channel.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Channel+smile , ,Aチャンネル+smile（プラス スマイル） ,https://i.animepahe.com/posters/effeafc39b9c8a6c07f69d70c5f5d550.jpg ,2,Finished Airing ,Mar 21 2012 ,Mar 21 2012 ,Studio Gokumi ,25 minutes ,Comedy;School;Seinen;Slice of Life ,Following the everyday lives of four high school girls: the flighty Run;; the reckless Tooru;; the timid Yuuko;; and the level-headed Nagi.Mountain of PancakesKitou-sensei injures her hand during class and has to deal with it while Tooru brings cat Tansan to school with her to meet Yutaka and Miho. Later;; the girls decide to get pancakes at a café where Miho happens to be working;; facing trouble when Yutaka shows up out of the blue.A Picture of a WishYuuko catches a cold so the others pay her a visit and help look after her. Later;; the girls get together for the New Year's shrine visit.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.I.C.O.: Incarnation , ,A.I.C.O. -Incarnation- ,https://i.animepahe.com/posters/738bb70853dc1278ae1489c83ee4fcc8.jpg ,12,Finished Airing ,Mar 09 2018 ,Mar 09 2018 ,Bones ,24 minutes ,Action;Sci-Fi ,"In 2035;; an incident known as “The Burst” occurs at a Japanese research facility;; giving birth to the rapidly expanding;; consuming;; and self-replicating ""Matter."" Snaking its way through the remains of dams and military facilities in the Kurobe Gorge;; the hostile Matter is besieged by task forces trying to prevent it from reaching the ocean and mercenaries seeking the truth behind its existence.Aiko Tachibana lives under constant medical surveillance after being rescued from the Matter. She spends her days waiting out her recovery by making paper planes. Soon;; her daily life at school is disturbed by the arrival of transfer student Yuuya Kanzaki;; who proceeds to point out a number of inconsistencies regarding her body. Why is she never injured;; and why does she suddenly no longer need her wheelchair? He claims that there is more to her existence than she has been led to believe;; and that she alone holds the key to ending The Burst.With many factions now interested in Aiko;; she and Yuuya must gather allies and embark on a dangerous pilgrimage into the heart of the infested gorge before the net can close around them. To escape the conspiracy moving against them;; the pair must face off against the Matter—an enemy that flows like water.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A3! Season Spring & Summer ,A3! Season Spring & Summer ,A3! SEASON SPRING & SUMMER ,https://i.animepahe.com/posters/c5736db3c82b72c24250e1e5921681446782fd5c5487d3300fb4a1611d12405c.jpg ,12,Finished Airing ,Jan 14 2020 ,Jan 14 2020 ,P.A. Works:Studio 3Hz ,23 minutes ,Music ,"""Director! Please help us bloom!""In Tokyo;; there is a place called Velude Way. It is a district notorious for its performers and theatrical groups. Izumi Tachibana;; who was previously a stage actress;; arrives with a letter that reads;; ""Full of debt! Zero customers! Only one actor!"" It describes the current state of the once-popular theater group Mankai Company. Her task is to rebuild the company to its former glory as the new owner and chief director.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
